time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-29T23:23:09.091Z,54.1919,-159.6928,32.1,2.5,ml,,,,0.71,ak,ak020dxho22o,2020-10-29T23:37:49.481Z,"137 km SSE of Sand Point, Alaska",earthquake,,1.4,,,reviewed,ak,ak
2020-10-29T16:32:28.182Z,54.3624,-159.6192,28.48,4.1,mwr,,105,0.469,0.7,us,us7000c7k6,2020-10-29T17:49:04.040Z,"122 km SSE of Sand Point, Alaska",earthquake,5.3,3.7,0.089,12,reviewed,us,us
2020-10-29T12:19:40.122Z,54.5568,-159.7715,7.78,3.6,ml,,205,0.294,1.41,us,us7000c7h9,2020-10-29T12:46:42.040Z,"98 km SSE of Sand Point, Alaska",earthquake,5.9,10.6,0.069,28,reviewed,us,us
2020-10-29T07:14:53.203Z,54.4032,-159.5383,22.6,2.6,ml,,,,1.16,ak,ak020dx83eqr,2020-10-29T20:22:58.243Z,"120 km SSE of Sand Point, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2020-10-29T06:45:43.744Z,61.6915,-147.7251,20,2.5,ml,,,,0.89,ak,ak020dx7ohpa,2020-10-29T20:18:49.817Z,"13 km SSW of Glacier View, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-10-29T06:45:43.310Z,35.5918333,-117.5996667,4.4,2.58,ml,43,35,0.06039,0.14,ci,ci39448471,2020-10-29T18:32:12.937Z,"8km ESE of Ridgecrest, CA",earthquake,0.13,0.32,0.158,94,reviewed,ci,ci
2020-10-29T06:11:59.986Z,53.967,-159.49,49.8,2.7,ml,,,,1.47,ak,ak020dx7hdgb,2020-10-29T19:43:21.163Z,"165 km SSE of Sand Point, Alaska",earthquake,,6.1,,,reviewed,ak,ak
2020-10-29T05:03:18.468Z,54.3977,-159.68,20.51,2.8,ml,,239,1.059,0.57,us,us7000c7dj,2020-10-29T05:49:59.040Z,"116 km SSE of Sand Point, Alaska",earthquake,3.5,11.8,0.097,14,reviewed,us,us
2020-10-29T03:57:11.988Z,54.361,-159.7979,21.17,2.9,ml,,277,1.065,0.71,us,us7000c7d7,2020-10-29T04:30:32.040Z,"117 km SSE of Sand Point, Alaska",earthquake,3.8,11.3,0.148,6,reviewed,us,us
2020-10-29T02:14:06.497Z,44.2179,-115.0711,19.24,3.3,ml,,78,0.809,0.33,us,us7000c7cs,2020-10-29T16:15:28.410Z,"10 km W of Stanley, Idaho",earthquake,2.1,10.1,0.036,100,reviewed,us,us
2020-10-29T01:40:06.612Z,31.6719,-104.3231,1.08,3.6,mwr,,56,0.103,0.4,us,us7000c7c5,2020-10-29T22:59:27.480Z,"56 km S of Whites City, New Mexico",earthquake,1.4,1.9,0.08,15,reviewed,us,us
2020-10-29T01:03:26.449Z,36.45116667,-98.778,8.09,2.56,ml,62,51,0,0.16,ok,ok2020vfwa,2020-10-29T12:27:46.779Z,"17 km SSE of Waynoka, Oklahoma",earthquake,,0.4,0.26,27,reviewed,ok,ok
2020-10-29T00:36:23.070Z,32.8331667,-115.9453333,11.23,2.6,ml,68,40,0.05714,0.27,ci,ci39448263,2020-10-29T14:41:14.330Z,"12km NNE of Ocotillo, CA",earthquake,0.21,0.44,0.168,84,reviewed,ci,ci
2020-10-29T00:13:48.821Z,54.3318,-159.5565,22.52,2.7,ml,,228,0.5,0.58,us,us7000c7bs,2020-10-29T00:54:18.040Z,"127 km SSE of Sand Point, Alaska",earthquake,3.5,11,0.085,18,reviewed,us,us
2020-10-28T23:24:50.142Z,54.5702,-159.5498,27.66,4,mb,,163,0.262,0.67,us,us7000c7bk,2020-10-28T23:41:43.040Z,"104 km SE of Sand Point, Alaska",earthquake,6.4,5.9,0.195,7,reviewed,us,us
2020-10-28T23:05:45.974Z,54.1003,-159.5779,22.19,2.8,ml,,218,0.732,0.51,us,us7000c7bh,2020-10-29T00:00:21.040Z,"149 km SSE of Sand Point, Alaska",earthquake,7.3,15,0.074,24,reviewed,us,us
2020-10-28T22:14:47.635Z,54.5676,-159.7755,23.09,3.1,ml,,202,0.285,0.72,us,us7000c7ar,2020-10-28T22:54:23.040Z,"97 km SSE of Sand Point, Alaska",earthquake,6.7,11.6,0.077,22,reviewed,us,us
2020-10-28T21:13:34.499Z,60.5765,-142.7384,6.8,2.7,ml,,,,0.82,ak,ak020dvsvrs9,2020-10-28T23:21:26.040Z,"95 km S of McCarthy, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-10-28T20:27:39.030Z,38.7631683,-122.7126694,1.47,2.58,md,27,57,0.05623,0.14,nc,nc73475971,2020-10-29T07:41:09.227Z,"2km SW of Anderson Springs, CA",earthquake,0.24,1.16,0.21,26,automatic,nc,nc
2020-10-28T20:22:58.700Z,36.459,-90.857,3.69,2.6,md,9,140,0.4564,0.14,nm,nm60116023,2020-10-28T23:07:21.980Z,"5 km NE of Maynard, Arkansas",earthquake,1.09,3.79,0.184,6,reviewed,nm,nm
2020-10-28T18:14:30.080Z,33.5041667,-116.46,5.72,2.61,ml,118,28,0.07967,0.19,ci,ci39447775,2020-10-29T16:32:02.102Z,"21km ESE of Anza, CA",earthquake,0.09,0.36,0.149,28,reviewed,ci,ci
2020-10-28T14:31:34.476Z,67.2337,-155.3517,9.1,3.3,ml,,,,0.8,ak,ak020dvotldq,2020-10-28T14:45:27.774Z,"75 km ENE of Kobuk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-10-28T14:07:37.455Z,31.6882,-104.1339,5,3.9,mb,,49,0.26,0.48,us,us7000c6s7,2020-10-29T14:10:07.293Z,"50 km W of Mentone, Texas",earthquake,1.7,2,0.21,6,reviewed,us,us
2020-10-28T11:25:10.208Z,65.3476,-163.0227,0.9,3.2,ml,,,,0.63,ak,ak020dvmzyg3,2020-10-28T11:49:57.040Z,"76 km NNE of White Mountain, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-10-28T10:11:27.320Z,36.4536667,-90.8643333,3.42,2.54,md,9,141,0.4488,0.03,nm,nm60115923,2020-10-28T13:51:01.860Z,"4 km NE of Maynard, Arkansas",earthquake,0.83,2.57,0.018,4,reviewed,nm,nm
2020-10-28T08:07:29.104Z,31.6443,-104.2919,2.2,2.8,ml,,63,0.129,0.38,us,us7000c6nj,2020-10-29T06:47:04.040Z,"59 km S of Whites City, New Mexico",earthquake,2.2,6.7,0.047,60,reviewed,us,us
2020-10-28T07:42:44.956Z,31.0412,-103.2873,5,2.6,ml,,54,0.088,0.58,us,us7000c6ng,2020-10-29T06:41:58.040Z,"30 km SW of Coyanosa, Texas",earthquake,1.5,1.9,0.046,62,reviewed,us,us
2020-10-28T07:24:32.028Z,54.6374,-161.232,2.4,3.2,ml,,180,0.835,1.15,us,us7000c6nh,2020-10-29T05:37:15.040Z,"84 km SE of King Cove, Alaska",earthquake,7.4,12.9,0.064,32,reviewed,us,us
2020-10-28T06:08:00.454Z,54.5048,-159.8189,24.47,2.6,ml,,222,0.353,1.01,us,us7000c785,2020-10-29T05:11:17.040Z,"102 km SSE of Sand Point, Alaska",earthquake,3.2,10.7,0.128,8,reviewed,us,us
2020-10-28T03:28:46.014Z,54.3912,-160.0885,5.57,2.9,ml,,220,0.527,0.49,us,us7000c77k,2020-10-29T04:50:56.040Z,"Alaska Peninsula",earthquake,3.9,9.8,0.077,22,reviewed,us,us
2020-10-28T01:47:58.366Z,54.4994,-159.6316,27.9,3.6,mb,,197,0.333,0.64,us,us7000c6k0,2020-10-28T02:04:59.040Z,"108 km SSE of Sand Point, Alaska",earthquake,5.3,5.1,0.25,4,reviewed,us,us
2020-10-28T01:30:07.064Z,54.5702,-159.8899,26.78,3.5,ml,,201,0.314,0.88,us,us7000c6ju,2020-10-28T01:39:54.040Z,"93 km SSE of Sand Point, Alaska",earthquake,7.9,12.1,0.076,23,reviewed,us,us
2020-10-28T00:36:52.778Z,66.3229,-157.2235,0,2.7,ml,,,,1,ak,ak020dvgin06,2020-10-28T00:59:54.040Z,"63 km S of Shungnak, Alaska",earthquake,,0.5,,,automatic,ak,ak
