mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2019-09-10 20:50:19.059140096,60.0471,-140.5345,590.0,3.0,-461.0,3.6,369.0,1.9,389,S,2B,3413
2018-04-13 15:48:31.179962880,60.0471,-140.5345,593.0,30.0,-483.0,25.5,344.0,37.2,60,S,1A,3413
2019-01-08 15:48:37.670020096,60.0471,-140.5345,369.0,31.0,-316.0,27.8,190.0,37.7,47,S,1A,3413
2020-07-17 08:58:25.059140096,60.0471,-140.5345,1389.0,8.0,-1107.0,8.4,839.0,5.7,225,S,2B,3413
2021-03-30 02:55:15.495098880,60.0471,-140.5345,2239.0,39.0,-1830.0,32.6,1290.0,50.5,48,S,1A,3413
2020-03-06 08:48:30.059140096,60.0471,-140.5345,849.0,12.0,-688.0,14.4,497.0,5.9,235,S,2A,3413
2020-11-03 20:48:28.059140096,60.0471,-140.5345,1390.0,9.0,-1098.0,10.3,852.0,5.9,249,S,2B,3413
2020-05-25 08:48:28.059140096,60.0471,-140.5345,1009.0,3.0,-794.0,3.6,622.0,2.9,524,S,2B,3413
2019-06-30 08:48:33.559140096,60.0471,-140.5345,770.0,19.0,-616.0,20.9,463.0,15.5,84,S,2B,3413
2018-08-19 08:47:30.559140096,60.0471,-140.5345,493.0,7.0,-386.0,8.5,306.0,3.2,335,S,2B,3413
2020-10-31 02:55:18.792719104,60.0471,-140.5345,833.0,93.0,-628.0,96.8,548.0,86.6,11,S,1A,3413
2018-07-06 15:48:35.363628032,60.0471,-140.5345,747.0,29.0,-582.0,21.0,468.0,37.4,60,S,1A,3413
2018-08-04 20:58:05.059140096,60.0471,-140.5345,479.0,4.0,-371.0,4.9,304.0,2.6,390,S,2A,3413
2021-04-29 02:55:16.553943040,60.0471,-140.5345,2553.0,30.0,-2096.0,26.3,1458.0,35.2,60,S,1A,3413
2018-05-18 20:44:45.059140096,60.0471,-140.5345,562.0,8.0,-440.0,9.5,349.0,5.7,219,S,2A,3413
2018-10-30 20:55:01.059140096,60.0471,-140.5345,485.0,4.0,-380.0,4.1,302.0,3.2,330,S,2A,3413
2019-07-02 03:02:35.218017280,60.0471,-140.5345,842.0,37.0,-715.0,36.9,445.0,36.0,24,S,1B,3413
2019-10-12 03:02:39.828308992,60.0471,-140.5345,215.0,30.0,-162.0,29.7,142.0,30.6,36,S,1B,3413
2021-06-21 03:02:46.855024896,60.0471,-140.5345,1966.0,27.0,-1632.0,24.7,1097.0,30.4,48,S,1B,3413
2020-01-26 08:48:27.059140096,60.0471,-140.5345,573.0,15.0,-451.0,18.2,353.0,7.0,194,S,2A,3413
2018-03-17 08:43:44.559140096,60.0471,-140.5345,524.0,10.0,-406.0,12.1,332.0,5.2,244,S,2B,3413
2018-04-03 20:43:55.059140096,60.0471,-140.5345,513.0,6.0,-402.0,7.0,318.0,3.9,299,S,2B,3413
2019-02-15 20:56:21.059140352,60.0471,-140.5345,600.0,6.0,-472.0,6.5,370.0,3.6,290,S,2B,3413
2018-05-28 20:43:46.059140096,60.0471,-140.5345,595.0,9.0,-468.0,9.7,367.0,6.5,199,S,2A,3413
2020-06-19 15:48:47.091070976,60.0471,-140.5345,1950.0,27.0,-1531.0,21.5,1207.0,33.2,48,S,1A,3413
2020-05-02 15:48:44.459491072,60.0471,-140.5345,1145.0,40.0,-913.0,33.5,691.0,49.7,48,S,1A,3413
2018-07-15 20:53:13.559140096,60.0471,-140.5345,576.0,11.0,-453.0,11.5,355.0,9.0,140,S,2B,3413
2019-08-12 15:48:43.683419904,60.0471,-140.5345,270.0,23.0,-183.0,17.3,199.0,26.3,48,S,1A,3413
2020-09-27 20:58:29.059140096,60.0471,-140.5345,1051.0,22.0,-835.0,24.4,639.0,18.1,79,S,2A,3413
