mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2018-07-23 08:54:24.559140096,60.0878,-139.4344,727.0,12.0,-643.0,12.8,-340.0,10.8,155,S,2B,3413
2021-03-13 20:48:24.559140096,60.0878,-139.4344,1443.0,24.0,-1298.0,24.3,-631.0,21.2,69,S,2B,3413
2019-01-01 21:03:09.059140096,60.0878,-139.4344,563.0,9.0,-496.0,9.4,-267.0,8.2,170,S,2A,3413
2017-12-27 08:41:56.559139840,60.0878,-139.4344,477.0,9.0,-418.0,9.9,-230.0,7.5,174,S,2A,3413
2018-03-09 20:44:33.059140096,60.0878,-139.4344,718.0,35.0,-631.0,39.2,-342.0,16.2,69,S,2B,3413
2020-05-03 08:58:26.059140096,60.0878,-139.4344,1483.0,28.0,-1319.0,28.7,-678.0,22.8,75,S,2B,3413
2017-10-01 08:55:23.059140096,60.0878,-139.4344,641.0,7.0,-553.0,7.3,-325.0,4.5,294,S,2A,3413
2020-06-21 20:48:30.059140096,60.0878,-139.4344,1257.0,40.0,-1148.0,41.6,-511.0,32.5,20,S,2B,3413
2020-01-29 08:58:25.059140096,60.0878,-139.4344,915.0,12.0,-807.0,13.0,-431.0,7.3,214,S,2A,3413
2019-03-19 20:56:08.059140096,60.0878,-139.4344,1058.0,30.0,-939.0,31.6,-487.0,21.6,50,S,2A,3413
2018-04-24 08:52:34.559140096,60.0878,-139.4344,1114.0,42.0,-994.0,42.8,-502.0,38.4,24,S,2A,3413
2020-01-31 20:58:24.059140096,60.0878,-139.4344,933.0,11.0,-825.0,11.5,-436.0,8.6,209,S,2B,3413
2021-12-12 03:02:50.785787904,60.0878,-139.4344,714.0,95.0,-664.0,96.0,-261.0,91.8,11,S,1B,3413
2020-12-19 08:58:25.059140096,60.0878,-139.4344,840.0,13.0,-749.0,13.1,-381.0,11.4,114,S,2B,3413
2018-09-03 08:41:53.059140096,60.0878,-139.4344,236.0,114.0,-200.0,114.8,-125.0,111.2,5,S,2B,3413
2020-01-01 20:58:23.059140096,60.0878,-139.4344,732.0,11.0,-650.0,11.4,-338.0,9.7,179,S,2A,3413
2018-02-27 20:44:26.559140096,60.0878,-139.4344,654.0,37.0,-578.0,41.6,-307.0,14.1,59,S,2A,3413
2019-02-25 08:45:00.559140096,60.0878,-139.4344,701.0,3.0,-608.0,2.8,-349.0,2.5,355,S,2B,3413
2018-07-27 20:47:37.059140096,60.0878,-139.4344,643.0,3.0,-555.0,3.0,-326.0,1.9,350,S,2B,3413
2019-08-02 08:58:26.559140096,60.0878,-139.4344,461.0,25.0,-412.0,26.4,-206.0,17.8,74,S,2A,3413
2018-01-16 08:43:58.559140096,60.0878,-139.4344,532.0,19.0,-466.0,21.5,-256.0,8.3,144,S,2B,3413
2019-08-29 08:48:29.059140352,60.0878,-139.4344,346.0,30.0,-316.0,31.3,-142.0,20.9,34,S,2A,3413
2019-05-26 08:56:12.059140096,60.0878,-139.4344,1279.0,26.0,-1142.0,27.8,-576.0,19.4,84,S,2A,3413
2020-03-18 20:48:22.059140096,60.0878,-139.4344,1207.0,36.0,-1072.0,40.3,-555.0,12.5,90,S,2B,3413
2019-02-08 08:54:33.559140352,60.0878,-139.4344,782.0,5.0,-678.0,5.1,-388.0,3.4,295,S,2B,3413
2018-01-18 20:43:16.559140096,60.0878,-139.4344,542.0,20.0,-472.0,22.0,-267.0,8.4,149,S,2B,3413
2018-07-18 08:53:18.559140096,60.0878,-139.4344,569.0,36.0,-512.0,37.1,-248.0,31.6,25,S,2B,3413
