mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2020-10-02 08:48:35.559141120,60.1966,-141.3675,1433.0,41.0,-1267.0,42.2,-669.0,35.7,34,S,2A,3413
2017-07-04 15:56:48.576872960,60.1966,-141.3675,1829.0,63.0,-1702.0,64.3,-670.0,54.0,12,S,1A,3413
2020-06-19 08:48:35.559141120,60.1966,-141.3675,1970.0,67.0,-1735.0,69.6,-933.0,59.4,15,S,2B,3413
2018-07-15 08:43:07.059141120,60.1966,-141.3675,1675.0,81.0,-1476.0,83.4,-792.0,70.4,15,S,2A,3413
2020-06-19 08:48:36.059141120,60.1966,-141.3675,1921.0,53.0,-1703.0,54.4,-888.0,49.4,24,S,2A,3413
2018-07-02 20:44:51.059141120,60.1966,-141.3675,1752.0,135.0,-1540.0,139.4,-835.0,116.1,9,S,2A,3413
2018-07-11 15:56:55.272404992,60.1966,-141.3675,1608.0,65.0,-1460.0,67.2,-675.0,56.6,12,S,1A,3413
2021-03-03 20:48:30.559141120,60.1966,-141.3675,1622.0,41.0,-1504.0,39.8,-608.0,46.9,69,S,2B,3413
2018-08-19 08:43:10.059141120,60.1966,-141.3675,1462.0,48.0,-1270.0,50.0,-724.0,40.3,34,S,2B,3413
2018-08-16 20:42:48.059140864,60.1966,-141.3675,1493.0,49.0,-1299.0,50.9,-735.0,41.2,29,S,2B,3413
2018-08-09 08:41:15.559141120,60.1966,-141.3675,1516.0,30.0,-1318.0,31.0,-749.0,26.5,55,S,2B,3413
2019-08-21 20:48:36.559141120,60.1966,-141.3675,1442.0,46.0,-1263.0,48.1,-696.0,39.4,29,S,2B,3413
2021-03-01 08:48:30.559141120,60.1966,-141.3675,1730.0,40.0,-1541.0,43.4,-785.0,21.4,44,S,2B,3413
2020-04-27 03:02:38.015848960,60.1966,-141.3675,1840.0,49.0,-1633.0,48.5,-847.0,48.6,24,S,1B,3413
2021-09-19 03:02:51.656194048,60.1966,-141.3675,1602.0,79.0,-1437.0,78.1,-709.0,81.5,12,S,1B,3413
2018-11-10 03:02:33.567475968,60.1966,-141.3675,1464.0,79.0,-1221.0,80.0,-807.0,76.7,11,S,1B,3413
2020-06-06 20:48:32.559141120,60.1966,-141.3675,1872.0,30.0,-1670.0,31.4,-845.0,25.4,50,S,2B,3413
2018-10-13 08:45:22.559141376,60.1966,-141.3675,1331.0,28.0,-1172.0,29.6,-630.0,19.1,65,S,2B,3413
2018-10-30 20:46:33.559141120,60.1966,-141.3675,1312.0,25.0,-1165.0,26.0,-603.0,19.7,60,S,2B,3413
2018-06-30 08:45:39.059141120,60.1966,-141.3675,1772.0,168.0,-1558.0,172.0,-844.0,155.5,4,S,2A,3413
2019-08-25 03:02:38.399747072,60.1966,-141.3675,1520.0,56.0,-1336.0,57.8,-725.0,47.6,12,S,1B,3413
2019-03-10 09:02:38.059140864,60.1966,-141.3675,1580.0,34.0,-1416.0,34.9,-702.0,27.2,45,S,2A,3413
2018-03-20 08:53:36.559141120,60.1966,-141.3675,1582.0,33.0,-1391.0,33.9,-753.0,29.3,44,S,2B,3413
2021-03-08 20:48:29.559140864,60.1966,-141.3675,1614.0,37.0,-1493.0,36.0,-614.0,41.6,79,S,2B,3413
2019-09-05 20:48:37.059141120,60.1966,-141.3675,1307.0,25.0,-1181.0,27.1,-560.0,14.7,99,S,2B,3413
2019-02-07 15:48:36.732720128,60.1966,-141.3675,1598.0,76.0,-1467.0,70.3,-634.0,102.7,11,S,1A,3413
2021-03-28 20:48:29.059141120,60.1966,-141.3675,1701.0,61.0,-1558.0,52.1,-684.0,94.5,39,S,2B,3413
