mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2018-09-17 03:02:32.997366016,60.0539,-139.3325,2365.0,33.0,-1347.0,33.7,1944.0,32.4,24,S,1B,3413
2020-10-01 15:31:48.721765888,60.0539,-139.3325,2741.0,33.0,-1636.0,33.4,2199.0,32.5,24,S,1B,3413
2020-06-21 20:48:30.059140096,60.0539,-139.3325,3889.0,36.0,-2341.0,41.6,3106.0,32.5,20,S,2B,3413
2017-04-02 02:54:50.298477312,60.0539,-139.3325,3790.0,105.0,-2148.0,101.5,3122.0,106.4,12,S,1A,3413
2019-03-19 20:56:08.059140096,60.0539,-139.3325,3780.0,26.0,-2301.0,31.6,2998.0,21.6,50,S,2A,3413
2018-10-11 03:02:33.578112000,60.0539,-139.3325,2543.0,43.0,-1499.0,40.9,2054.0,43.5,24,S,1B,3413
2018-04-24 08:52:34.559140096,60.0539,-139.3325,3858.0,40.0,-2279.0,42.8,3113.0,38.4,24,S,2A,3413
2021-12-12 03:02:50.785787904,60.0539,-139.3325,3355.0,93.0,-2111.0,96.0,2608.0,91.8,11,S,1B,3413
2018-09-03 08:41:53.059140096,60.0539,-139.3325,2355.0,113.0,-1419.0,114.8,1879.0,111.2,5,S,2B,3413
2019-07-08 08:58:30.559140096,60.0539,-139.3325,3219.0,36.0,-2149.0,36.9,2397.0,35.4,34,S,2B,3413
2019-08-29 08:48:29.059140352,60.0539,-139.3325,2436.0,26.0,-1546.0,31.3,1882.0,20.9,34,S,2A,3413
2019-10-30 03:02:40.063828992,60.0539,-139.3325,2916.0,40.0,-1793.0,41.8,2300.0,39.4,23,S,1B,3413
2018-07-18 08:53:18.559140096,60.0539,-139.3325,3283.0,34.0,-1973.0,37.1,2624.0,31.6,25,S,2B,3413
2019-05-11 08:56:11.559140096,60.0539,-139.3325,4116.0,32.0,-2637.0,37.0,3160.0,28.0,54,S,2A,3413
2017-05-16 20:54:01.559140096,60.0539,-139.3325,4119.0,43.0,-2439.0,48.9,3319.0,38.8,19,S,2A,3413
2019-02-08 08:57:23.559140096,60.0539,-139.3325,20.0,3.0,-18.0,3.5,9.0,2.9,385,S,2A,3413
2018-09-18 15:31:35.675262976,60.0539,-139.3325,2316.0,23.0,-1491.0,25.1,1772.0,21.8,24,S,1B,3413
2020-04-22 02:55:10.173618944,60.0539,-139.3325,3680.0,82.0,-2024.0,91.2,3073.0,78.1,12,S,1A,3413
2018-04-09 15:31:27.095375872,60.0539,-139.3325,3641.0,78.0,-2147.0,79.3,2941.0,76.9,12,S,1B,3413
2019-10-19 15:31:42.507980032,60.0539,-139.3325,2732.0,45.0,-1849.0,47.2,2011.0,42.6,23,S,1B,3413
2020-08-08 08:48:30.559139840,60.0539,-139.3325,2831.0,19.0,-2036.0,22.7,1967.0,13.8,75,S,2B,3413
2018-03-29 20:40:41.059140096,60.0539,-139.3325,3788.0,67.0,-2137.0,86.8,3128.0,56.3,9,S,2B,3413
2020-06-04 08:48:31.559140096,60.0539,-139.3325,3961.0,55.0,-2297.0,63.3,3227.0,50.4,14,S,2A,3413
2020-09-25 08:58:20.059140096,60.0539,-139.3325,8.0,8.0,5.0,6.2,-6.0,8.8,404,S,2B,3413
2020-02-27 20:48:31.059140096,60.0539,-139.3325,5.0,3.0,5.0,2.8,-1.0,2.3,380,S,2A,3413
2020-05-07 20:48:25.059140352,60.0539,-139.3325,3948.0,71.0,-2266.0,86.0,3233.0,62.3,10,S,2B,3413
2019-07-30 08:48:33.559140096,60.0539,-139.3325,2724.0,42.0,-1546.0,45.5,2243.0,39.8,15,S,2A,3413
2020-11-11 20:58:27.559139840,60.0539,-139.3325,3128.0,75.0,-1762.0,97.3,2585.0,61.7,9,S,2A,3413
2017-10-23 08:44:57.559140096,60.0539,-139.3325,2566.0,27.0,-1672.0,31.5,1947.0,23.1,45,S,2A,3413
2020-06-19 08:48:27.059140096,60.0539,-139.3325,2.0,3.0,1.0,3.2,0.0,2.3,474,S,2B,3413
2020-04-10 15:31:39.899853056,60.0539,-139.3325,3536.0,122.0,-1968.0,108.9,2938.0,127.3,12,S,1B,3413
2019-02-18 09:04:52.059140352,60.0539,-139.3325,3721.0,60.0,-2121.0,93.6,3058.0,34.6,15,S,2B,3413
2019-04-23 20:53:09.559140096,60.0539,-139.3325,4039.0,26.0,-2425.0,31.9,3230.0,21.9,49,S,2B,3413
2018-02-20 08:46:29.059140096,60.0539,-139.3325,3732.0,52.0,-2170.0,70.1,3036.0,40.6,25,S,2A,3413
2019-05-03 03:02:31.962774016,60.0539,-139.3325,4161.0,53.0,-2567.0,49.0,3275.0,55.8,24,S,1B,3413
2019-03-22 21:05:54.559140096,60.0539,-139.3325,3830.0,38.0,-2338.0,45.0,3034.0,32.6,29,S,2A,3413
2019-09-06 08:58:27.059140096,60.0539,-139.3325,2523.0,20.0,-1837.0,21.5,1728.0,17.7,84,S,2A,3413
2020-07-03 15:31:44.314946048,60.0539,-139.3325,3498.0,49.0,-1974.0,54.2,2888.0,46.9,12,S,1B,3413
2020-06-29 08:48:31.059140096,60.0539,-139.3325,3600.0,33.0,-2315.0,35.8,2756.0,30.6,35,S,2B,3413
2019-09-18 08:48:29.559140096,60.0539,-139.3325,2503.0,28.0,-1840.0,34.5,1696.0,16.8,74,S,2A,3413
2019-09-23 08:48:32.559140096,60.0539,-139.3325,2564.0,20.0,-1848.0,23.5,1777.0,15.9,94,S,2B,3413
2020-02-22 15:31:39.134678016,60.0539,-139.3325,3637.0,82.0,-2070.0,89.4,2990.0,78.7,11,S,1B,3413
