mid_date,lat,lon,v [m/yr],v_error [m/yr],vx [m/yr],vx_error [m/yr],vy [m/yr],vy_error [m/yr],date_dt [days],mission,satellite,epsg
2018-11-20 08:58:02.559140096,60.1829,-140.7541,486.0,5.0,-75.0,7.8,480.0,5.4,275,S,2B,3413
2019-11-27 08:48:34.059140096,60.1829,-140.7541,577.0,3.0,-97.0,4.2,569.0,2.9,424,S,2B,3413
2019-08-26 20:48:25.559140096,60.1829,-140.7541,573.0,3.0,-92.0,8.8,566.0,2.8,439,S,2B,3413
2018-03-22 08:44:18.559140096,60.1829,-140.7541,566.0,11.0,-64.0,20.5,562.0,11.2,94,S,2B,3413
2019-01-28 20:45:10.059140352,60.1829,-140.7541,503.0,2.0,-91.0,3.6,495.0,2.1,530,S,2A,3413
2020-10-09 20:48:26.059140096,60.1829,-140.7541,589.0,4.0,-94.0,7.6,581.0,4.1,300,S,2B,3413
2019-03-02 20:57:10.059140096,60.1829,-140.7541,561.0,6.0,-77.0,10.1,556.0,6.0,250,S,2A,3413
2020-10-12 08:48:25.559140096,60.1829,-140.7541,606.0,3.0,-94.0,3.2,599.0,3.2,354,S,2A,3413
2018-10-05 20:47:41.059140096,60.1829,-140.7541,520.0,3.0,-90.0,5.6,512.0,3.3,490,S,2B,3413
2018-07-17 20:43:07.559140096,60.1829,-140.7541,496.0,7.0,-74.0,8.1,490.0,7.0,210,S,2B,3413
2017-08-02 08:56:01.059139840,60.1829,-140.7541,498.0,8.0,-73.0,14.2,493.0,7.6,174,S,2A,3413
2020-07-09 20:58:23.559139840,60.1829,-140.7541,574.0,12.0,-104.0,16.2,564.0,11.8,130,S,2B,3413
2019-05-19 09:02:09.059140096,60.1829,-140.7541,637.0,20.0,-64.0,27.9,634.0,19.7,84,S,2A,3413
2018-09-21 08:55:31.559140096,60.1829,-140.7541,474.0,4.0,-76.0,7.0,468.0,4.1,295,S,2B,3413
2018-03-15 08:52:48.059140096,60.1829,-140.7541,505.0,28.0,-56.0,50.3,502.0,27.9,34,S,2B,3413
2019-01-13 20:46:20.559140096,60.1829,-140.7541,483.0,3.0,-76.0,3.1,477.0,2.9,330,S,2B,3413
2018-06-18 08:54:00.559140096,60.1829,-140.7541,562.0,23.0,-83.0,27.4,556.0,23.0,65,S,2B,3413
2020-05-23 08:58:25.559140096,60.1829,-140.7541,690.0,34.0,-98.0,46.7,683.0,33.9,35,S,2B,3413
2020-08-21 08:58:22.559140096,60.1829,-140.7541,594.0,3.0,-95.0,4.7,586.0,3.1,335,S,2B,3413
2018-12-30 09:01:26.059140096,60.1829,-140.7541,507.0,7.0,-80.0,9.1,501.0,7.2,175,S,2B,3413
2020-09-25 08:58:23.059140096,60.1829,-140.7541,578.0,7.0,-94.0,10.4,571.0,6.8,265,S,2B,3413
2020-06-14 08:48:28.059140096,60.1829,-140.7541,590.0,3.0,-102.0,4.6,581.0,3.3,474,S,2A,3413
2018-01-14 08:53:26.059140096,60.1829,-140.7541,469.0,9.0,-67.0,21.0,464.0,8.3,154,S,2B,3413
2021-02-09 20:58:23.059140096,60.1829,-140.7541,584.0,77.0,-97.0,212.8,576.0,69.5,10,S,2A,3413
2019-08-21 20:48:26.059140096,60.1829,-140.7541,575.0,3.0,-93.0,8.2,567.0,2.6,429,S,2B,3413
2017-09-26 08:53:55.559140096,60.1829,-140.7541,522.0,3.0,-90.0,3.4,514.0,2.5,464,S,2A,3413
2018-11-04 20:44:24.559139840,60.1829,-140.7541,523.0,3.0,-85.0,4.3,516.0,3.3,430,S,2B,3413
2019-02-13 09:04:52.059140352,60.1829,-140.7541,507.0,34.0,-28.0,69.0,506.0,33.4,25,S,2B,3413
2018-09-25 20:49:25.559140352,60.1829,-140.7541,503.0,2.0,-76.0,2.8,497.0,2.0,370,S,2B,3413
2020-09-07 08:48:27.059140096,60.1829,-140.7541,585.0,4.0,-94.0,11.0,577.0,4.1,285,S,2A,3413
2019-03-07 21:04:03.559140096,60.1829,-140.7541,604.0,22.0,-53.0,35.9,602.0,22.0,40,S,2A,3413
2018-12-17 08:49:59.059140096,60.1829,-140.7541,455.0,7.0,-62.0,8.2,451.0,7.1,205,S,2A,3413
2019-07-17 20:48:25.059140352,60.1829,-140.7541,553.0,3.0,-93.0,3.1,545.0,2.7,500,S,2B,3413
2019-09-03 20:58:23.059140096,60.1829,-140.7541,571.0,3.0,-93.0,7.3,563.0,2.6,409,S,2B,3413
2021-09-19 03:02:51.656194048,60.1829,-140.7541,359.0,81.0,-154.0,78.1,325.0,81.5,12,S,1B,3413
2019-08-04 08:48:32.559140096,60.1829,-140.7541,517.0,6.0,-81.0,10.7,511.0,6.0,194,S,2B,3413
2020-07-06 20:48:32.559140096,60.1829,-140.7541,543.0,41.0,-41.0,51.2,541.0,40.7,19,S,2A,3413
2019-09-16 08:58:21.059140096,60.1829,-140.7541,567.0,3.0,-95.0,7.2,559.0,3.2,465,S,2A,3413
2019-10-16 08:58:26.059140096,60.1829,-140.7541,504.0,170.0,12.0,196.8,504.0,169.8,4,S,2A,3413
2018-03-15 08:55:58.059140096,60.1829,-140.7541,523.0,6.0,-79.0,9.6,517.0,5.6,275,S,2B,3413
2018-11-22 08:53:27.559140352,60.1829,-140.7541,466.0,5.0,-74.0,7.3,460.0,5.2,285,S,2B,3413
2019-11-22 08:56:09.059139840,60.1829,-140.7541,588.0,4.0,-100.0,5.4,579.0,3.6,444,S,2A,3413
2019-08-25 03:02:38.399747072,60.1829,-140.7541,407.0,49.0,-152.0,57.8,378.0,47.6,12,S,1B,3413
2018-09-18 02:55:05.573765120,60.1829,-140.7541,280.0,27.0,-51.0,26.6,275.0,26.6,24,S,1A,3413
2020-11-11 20:58:27.559139840,60.1829,-140.7541,565.0,63.0,-85.0,97.3,559.0,61.7,9,S,2A,3413
2019-04-19 08:58:26.059140096,60.1829,-140.7541,629.0,13.0,-76.0,24.0,624.0,13.1,125,S,2A,3413
2019-09-03 20:58:21.559140096,60.1829,-140.7541,569.0,3.0,-95.0,8.9,561.0,2.9,440,S,2A,3413
2019-10-08 08:56:06.059140096,60.1829,-140.7541,573.0,3.0,-92.0,3.8,566.0,2.9,354,S,2A,3413
2019-03-05 08:57:25.059140096,60.1829,-140.7541,567.0,7.0,-79.0,12.7,562.0,6.3,245,S,2B,3413
2020-04-08 08:58:25.059140096,60.1829,-140.7541,647.0,21.0,-64.0,37.3,644.0,20.7,65,S,2B,3413
2018-10-13 08:46:56.059140096,60.1829,-140.7541,521.0,3.0,-88.0,5.5,514.0,3.2,475,S,2A,3413
2018-04-29 08:52:04.059140096,60.1829,-140.7541,605.0,28.0,-75.0,32.4,600.0,28.2,34,S,2A,3413
2020-10-29 20:48:29.059140352,60.1829,-140.7541,550.0,8.0,-89.0,11.0,543.0,7.8,209,S,2A,3413
2018-01-26 20:54:10.559140096,60.1829,-140.7541,484.0,7.0,-71.0,10.3,479.0,7.0,179,S,2B,3413
2019-12-07 20:58:28.559140096,60.1829,-140.7541,560.0,5.0,-85.0,6.0,553.0,4.8,309,S,2A,3413
2019-03-15 08:58:26.059140096,60.1829,-140.7541,594.0,17.0,-65.0,26.4,590.0,17.2,95,S,2A,3413
2019-10-01 02:55:11.746308864,60.1829,-140.7541,419.0,21.0,-47.0,20.3,416.0,20.8,60,S,1A,3413
2017-12-22 08:46:51.559140096,60.1829,-140.7541,468.0,12.0,-61.0,15.6,464.0,11.6,84,S,2A,3413
