PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, AC12
Station name, ChernaburaAK2008
Begin Date, 2008-05-06
End Date, 2023-09-04
Release Date, 2023-10-05
Source file, AC12.cwu.nam14.pos
Offset from source file, 47.87 mm North, -40.07 mm East, -1.22 mm Vertical
Reference position, 54.8309633807 North Latitude, -159.5895623482 East Longitude, 84.40912 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-05-06,0.00, 0.00, 0.00, 2.24, 1.59, 7.2, repro,
2008-05-07,1.53, -1.82, 5.69, 2.2, 1.55, 7.11, repro,
2008-05-08,-0.39, -0.36, 2.72, 2.21, 1.55, 7.07, repro,
2008-05-09,1.07, -0.40, -0.32, 2.19, 1.54, 7, repro,
2008-05-10,2.32, -0.62, 0.94, 2.25, 1.58, 7.18, repro,
2008-05-11,0.95, -0.72, 4.49, 2.22, 1.56, 7.1, repro,
2008-05-12,0.89, -0.61, 7.64, 2.19, 1.55, 7.06, repro,
2008-05-13,0.74, -0.20, 9.40, 2.19, 1.55, 7.04, repro,
2008-05-14,1.87, -1.40, 5.54, 2.19, 1.54, 7.01, repro,
2008-05-15,1.59, -1.18, 7.38, 2.18, 1.54, 7.01, repro,
2008-05-16,2.96, -1.48, 4.64, 2.2, 1.55, 7.04, repro,
2008-05-17,0.74, -1.17, 2.72, 2.19, 1.55, 7.07, repro,
2008-05-18,1.25, -0.54, -1.64, 2.19, 1.55, 7.05, repro,
2008-05-19,1.90, -1.00, 5.40, 2.2, 1.55, 7.07, repro,
2008-05-20,2.80, -0.93, 0.35, 2.18, 1.54, 6.99, repro,
2008-05-21,2.40, -0.07, 7.07, 2.2, 1.55, 7.08, repro,
2008-05-22,2.03, 0.05, 1.33, 2.24, 1.59, 7.23, repro,
2008-05-23,2.26, -1.16, 2.52, 2.22, 1.58, 7.16, repro,
2008-05-24,2.34, 1.35, 3.84, 2.24, 1.57, 7.24, repro,
2008-05-25,2.74, -0.62, 7.01, 2.24, 1.57, 7.19, repro,
2008-05-26,1.29, -1.33, 5.81, 2.2, 1.55, 7.03, repro,
2008-05-27,3.56, -1.41, 1.58, 2.23, 1.58, 7.16, repro,
2008-05-28,2.53, -0.77, 10.29, 2.18, 1.55, 7.05, repro,
2008-05-29,2.83, -0.80, 8.32, 2.2, 1.55, 7.07, repro,
2008-05-30,3.56, -1.51, 5.87, 2.19, 1.55, 7.03, repro,
2008-05-31,3.76, -2.48, 11.00, 2.2, 1.54, 7.02, repro,
2008-06-01,2.94, -1.66, 10.44, 2.19, 1.56, 7.09, repro,
2008-06-02,2.64, -2.44, 8.10, 2.19, 1.56, 7.1, repro,
2008-06-03,2.58, -3.01, 9.24, 2.24, 1.59, 7.49, repro,
2008-06-04,2.75, -0.62, 8.58, 2.2, 1.56, 7.1, repro,
2008-06-05,2.50, -1.36, 9.20, 2.18, 1.54, 7.02, repro,
2008-06-06,2.53, -1.40, 7.14, 2.24, 1.58, 7.26, repro,
2008-06-07,2.13, -0.43, 6.95, 2.29, 1.61, 7.45, repro,
2008-06-08,2.95, -2.08, 9.21, 2.25, 1.58, 7.26, repro,
2008-06-09,2.28, -2.03, 10.69, 2.25, 1.57, 7.25, repro,
2008-06-10,3.12, -1.43, 7.78, 2.2, 1.55, 7.07, repro,
2008-06-11,2.41, -1.55, 7.62, 2.21, 1.54, 7.05, repro,
2008-06-12,1.38, -2.57, 11.04, 2.25, 1.58, 7.29, repro,
