PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, AC13
Station name, ChirikofIsAK2008
Begin Date, 2008-09-17
End Date, 2022-12-21
Release Date, 2023-06-22
Source file, AC13.cwu.nam14.pos
Offset from source file, 162.49 mm North, -84.42 mm East, -56.62 mm Vertical
Reference position, 55.8218976390 North Latitude, -155.6224013975 East Longitude, 222.77374 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-09-17,0.00, 0.00, 0.00, 2.29, 1.64, 7.84, repro,
2008-09-18,-1.88, 1.67, 5.91, 2.23, 1.56, 7.34, repro,
2008-09-19,-2.11, 3.38, 9.19, 2.23, 1.57, 7.35, repro,
2008-09-20,-1.10, 1.05, 5.22, 2.21, 1.54, 7.24, repro,
2008-09-21,-0.51, 0.36, 2.69, 2.22, 1.54, 7.22, repro,
2008-09-22,-1.98, 0.24, -1.96, 2.21, 1.56, 7.25, repro,
2008-09-23,-0.55, 1.36, 0.48, 2.23, 1.57, 7.37, repro,
2008-09-24,-0.10, 1.17, -3.03, 2.23, 1.56, 7.34, repro,
2008-09-25,1.57, 0.04, 1.98, 2.22, 1.55, 7.27, repro,
2008-09-26,0.12, 0.56, -5.43, 2.21, 1.54, 7.2, repro,
2008-09-27,-0.19, -0.76, 3.53, 2.21, 1.55, 7.25, repro,
2008-09-28,-0.95, 0.99, 0.09, 2.22, 1.58, 7.34, repro,
2008-09-29,1.02, 1.05, 0.29, 2.23, 1.56, 7.31, repro,
2008-09-30,-0.96, 0.19, -1.70, 2.22, 1.56, 7.32, repro,
2008-10-01,0.95, 0.80, -5.08, 2.21, 1.55, 7.24, repro,
2008-10-02,-0.03, 1.52, -4.08, 2.22, 1.55, 7.27, repro,
2008-10-03,0.47, 0.07, 3.52, 2.24, 1.57, 7.35, repro,
2008-10-04,-0.80, 1.64, 6.76, 2.22, 1.57, 7.33, repro,
2008-10-05,-1.39, 2.01, 1.40, 2.22, 1.56, 7.31, repro,
2008-10-06,0.40, 2.37, 1.60, 2.23, 1.56, 7.3, repro,
2008-10-07,0.39, 1.20, 0.33, 2.21, 1.56, 7.31, repro,
2008-10-08,1.05, 0.78, -0.43, 2.29, 1.59, 7.33, repro,
2008-10-09,1.34, 1.29, -2.94, 2.21, 1.55, 7.16, repro,
2008-10-10,2.43, 1.90, -6.20, 2.21, 1.55, 7.16, repro,
2008-10-11,0.44, 0.22, -2.58, 2.2, 1.53, 7.09, repro,
2008-10-12,1.36, 1.32, -2.00, 2.2, 1.53, 7.1, repro,
2008-10-13,2.64, 0.55, 1.26, 2.22, 1.54, 7.18, repro,
2008-10-14,0.60, 1.66, -3.01, 2.2, 1.54, 7.13, repro,
2008-10-15,0.85, -0.80, 6.43, 2.24, 1.57, 7.38, repro,
2008-10-16,1.96, -0.02, -3.79, 2.25, 1.56, 7.3, repro,
2008-10-17,1.79, -0.54, -5.05, 2.2, 1.54, 7.1, repro,
2008-10-18,3.26, -0.06, -2.21, 2.19, 1.53, 7.06, repro,
2008-10-19,0.90, 0.14, 0.23, 2.19, 1.54, 7.11, repro,
2008-10-20,1.22, 0.29, -2.57, 2.2, 1.55, 7.14, repro,
2008-10-21,3.68, -0.53, -3.29, 2.2, 1.55, 7.13, repro,
2008-10-22,1.07, -0.26, 3.15, 2.2, 1.54, 7.14, repro,
2008-10-23,4.20, -1.38, 7.49, 2.21, 1.54, 7.13, repro,
2008-10-24,2.43, -0.25, 4.28, 2.2, 1.55, 7.14, repro,
2008-10-25,2.19, -0.72, 6.53, 2.2, 1.55, 7.16, repro,
2008-10-26,2.58, -1.40, 1.58, 2.21, 1.55, 7.19, repro,
2008-10-27,3.93, -1.52, -1.19, 2.19, 1.55, 7.11, repro,
2008-10-28,4.11, -1.34, 3.03, 2.29, 1.59, 7.36, repro,
2008-10-29,3.75, 0.25, -7.39, 2.33, 1.65, 7.57, repro,
2008-10-30,4.73, -1.29, 0.45, 2.2, 1.55, 7.19, repro,
2008-10-31,4.44, -2.54, 1.19, 2.34, 1.64, 7.75, repro,
2008-11-01,3.38, -1.11, -1.97, 2.23, 1.56, 7.28, repro,
2008-11-02,0.52, 1.08, 4.08, 2.26, 1.58, 7.34, repro,
2008-11-03,1.20, 0.14, 5.26, 2.3, 1.58, 7.35, repro,
2008-11-04,1.72, -0.40, 7.62, 2.24, 1.57, 7.29, repro,
2008-11-05,3.05, -1.13, 0.66, 2.28, 1.58, 7.45, repro,
2008-11-06,4.59, -1.44, -3.89, 2.29, 1.59, 7.44, repro,
2008-11-07,3.27, -1.75, 0.21, 2.26, 1.58, 7.37, repro,
2008-11-08,4.10, -2.79, 3.26, 2.37, 1.66, 7.9, repro,
2008-11-09,1.07, -1.65, -1.64, 2.31, 1.59, 7.36, repro,
2008-11-10,2.43, -1.75, 6.27, 2.28, 1.59, 7.55, repro,
2008-11-11,4.52, -2.30, 3.51, 2.43, 1.71, 8.24, repro,
2008-11-12,2.95, -1.90, 7.20, 2.25, 1.57, 7.24, repro,
2008-11-13,3.58, -0.63, 0.13, 2.28, 1.59, 7.38, repro,
2008-11-14,4.04, -1.07, -3.49, 2.28, 1.59, 7.41, repro,
2008-11-15,5.48, -1.80, -6.20, 2.37, 1.64, 7.76, repro,
2008-11-16,3.47, -0.77, -5.43, 2.31, 1.62, 7.72, repro,
2008-11-17,6.08, -1.12, -6.57, 2.36, 1.63, 7.68, repro,
2008-11-18,4.90, -2.68, -7.77, 2.4, 1.7, 8.15, repro,
2008-11-19,4.71, -2.07, -9.12, 2.33, 1.65, 7.96, repro,
2008-11-20,4.73, -2.98, -3.22, 2.33, 1.61, 7.59, repro,
2008-11-21,4.08, -2.18, 1.26, 2.38, 1.66, 7.99, repro,
2008-11-22,3.53, -2.31, 1.25, 2.44, 1.71, 8.25, repro,
