               North      East  Vertical
2020-09-24 -2.329823 -1.709525 -0.071239
2020-09-25 -1.127769  0.390906  1.099989
2020-09-26 -0.486678 -0.123021  0.176733
2020-09-27 -0.676743  1.153277 -0.365258
2020-09-28  0.548767  0.040909  1.585026
2020-09-29  0.955241 -0.077114 -1.783357
2020-09-30 -0.481305 -0.985396 -0.782370
2020-10-01 -1.598926  0.625368  0.079308
2020-10-02 -2.165262 -1.692497  0.570225
2020-10-03 -0.982975  0.485549  0.219306
           North       East   Vertical
count  10.000000  10.000000  10.000000
mean   -0.834547  -0.189154   0.072836
std     1.058643   0.973692   0.943455
min    -2.329823  -1.709525  -1.783357
25%    -1.481137  -0.769802  -0.291753
50%    -0.829859  -0.018102   0.128020
75%    -0.482648   0.461888   0.482495
max     0.955241   1.153277   1.585026
