-360 Ref_Nlat *Dot#
-117.093 34.1164073448 7ODM
-117.093 34.1164072721 7ODM
-117.093 34.1164077038 7ODM
-117.093 34.1164076856 7ODM
-117.093 34.1164077463 7ODM
-117.093 34.1164077372 7ODM
-117.093 34.1164077551 7ODM
-168.855 52.9706051202 AB02
-168.855 52.9706052259 AB02
-168.855 52.9706051339 AB02
-168.855 52.9706051282 AB02
-170.567 63.6568640929 AB04
-170.567 63.6568641080 AB04
-160.477 55.3492759474 AB07
-160.477 55.3492759608 AB07
-160.477 55.3492742120 AB07
-168.062 65.6149809556 AB09
-158.504 56.3073262126 AB13
-158.504 56.3073262350 AB13
-158.504 56.3073256331 AB13
-159.092 59.1081658975 AB14
-159.092 59.1081659363 AB14
-159.092 59.1081658555 AB14
-176.663 51.8641497565 AB21
-176.663 51.8641497941 AB21
-176.663 51.8641498179 AB21
-176.663 51.8641498002 AB21
-176.663 51.8641497838 AB21
-156.023 62.9293100791 AB25
-152.815 62.0938148321 AB28
-152.815 62.0938148161 AB28
-152.815 62.0938148172 AB28
-152.815 62.0938148283 AB28
-150.744 65.0303982085 AB36
-132.914 56.7976220904 AB51
-132.914 56.7976219508 AB51
-132.867 56.5847560556 AB53
-132.867 56.5847557554 AB53
-154.183 56.9505863469 AC02
-154.183 56.9505864344 AC02
-154.183 56.9505864299 AC02
-151.865 59.7706373321 AC03
-151.865 59.7706373501 AC03
-151.865 59.7706373251 AC03
-151.865 59.7706373338 AC03
-151.865 59.7706373609 AC03
-151.865 59.7706373569 AC03
-150.891 59.7636372292 AC06
-150.891 59.7636372294 AC06
-150.891 59.7636371667 AC06
-150.891 59.7636371906 AC06
-150.891 59.7636372099 AC06
-161.287 65.9612924198 AC07
-161.287 65.9612924672 AC07
-153.645 58.9287747552 AC08
-153.645 58.9287747291 AC08
-153.645 58.9287747599 AC08
-153.645 58.9287747554 AC08
-153.645 58.9287748288 AC08
-153.645 58.9287748296 AC08
-144.524 59.8684791126 AC09
-144.524 59.8684793467 AC09
-144.524 59.8684790710 AC09
-144.524 59.8684791063 AC09
-164.887 54.5225814090 AC10
-164.887 54.5225814244 AC10
-164.887 54.5225813994 AC10
-148.332 61.8070787989 AC11
-148.332 61.8070788646 AC11
-148.332 61.8070788443 AC11
-148.332 61.8070789189 AC11
-159.59 54.8309634205 AC12
-159.59 54.8309634876 AC12
-159.59 54.8309634988 AC12
-159.59 54.8309607876 AC12
-155.622 55.8218979300 AC13
-155.622 55.8218978936 AC13
-155.622 55.8218979303 AC13
-155.622 55.8218979292 AC13
-148 60.8487023563 AC14
-148 60.8487023638 AC14
-148 60.8487022785 AC14
-148 60.8487022135 AC14
-149.724 60.4813331016 AC15
-149.724 60.4813331428 AC15
-149.724 60.4813330874 AC15
-149.724 60.4813330829 AC15
-148.093 60.5182060614 AC16
-148.093 60.5182060453 AC16
-148.093 60.5182060309 AC16
-148.093 60.5182059818 AC16
-148.093 60.5182059661 AC16
-148.093 60.5182058419 AC16
-148.093 60.5182057647 AC16
-152.404 60.6639020384 AC17
-152.404 60.6639020806 AC17
-152.404 60.6639020575 AC17
-152.404 60.6639020727 AC17
-152.404 60.6639021046 AC17
-152.25 58.9259578130 AC18
-152.25 58.9259577888 AC18
-152.25 58.9259578547 AC18
-152.25 58.9259578735 AC18
-149.353 60.9292076847 AC20
-149.353 60.9292076711 AC20
-149.353 60.9292077163 AC20
-149.353 60.9292077120 AC20
-149.353 60.9292077182 AC20
-159.128 55.9210900428 AC21
-159.128 55.9210900642 AC21
-159.128 55.9210886758 AC21
-150.878 60.4750926359 AC23
-150.878 60.4750926520 AC23
-150.878 60.4750926095 AC23
-150.878 60.4750926462 AC23
-156.653 58.6815724558 AC24
-156.653 58.6815724596 AC24
-156.653 58.6815725133 AC24
-162.314 55.0889679075 AC25
-162.314 55.0889677107 AC25
-154.15 58.2145552410 AC26
-154.15 58.2145551952 AC26
-154.15 58.2145552376 AC26
-154.15 58.2145553445 AC26
-154.15 58.2145553420 AC26
-154.163 59.2525070462 AC27
-154.163 59.2525070584 AC27
-154.163 59.2525071305 AC27
-154.163 59.2525071170 AC27
-160.049 55.0784910160 AC28
-160.049 55.0784910266 AC28
-160.049 55.0784891923 AC28
-146.34 59.4295892586 AC29
-146.34 59.4295890605 AC29
-147.739 59.8558179462 AC30
-162.239 64.6379754749 AC31
-150.737 61.4731205298 AC32
-150.737 61.4731205058 AC32
-150.737 61.4731205202 AC32
-150.737 61.4731205221 AC32
-150.737 61.4731205356 AC32
-150.737 61.4731205347 AC32
-150.737 61.4731205112 AC32
-150.685 62.6711774744 AC33
-150.685 62.6711773301 AC33
-150.685 62.6711773340 AC33
-153.279 57.2200271220 AC34
-153.279 57.2200271671 AC34
-153.279 57.2200273269 AC34
-153.279 57.2200273328 AC34
-150.793 59.3758113289 AC35
-150.793 59.3758112975 AC35
-150.793 59.3758112743 AC35
-150.793 59.3758112024 AC35
-150.793 59.3758112099 AC35
-150.608 60.9553170604 AC36
-150.608 60.9553170481 AC36
-150.608 60.9553170159 AC36
-150.608 60.9553171069 AC36
-153.865 60.4396868852 AC37
-153.865 60.4396868707 AC37
-153.865 60.4396868926 AC37
-153.865 60.4396869056 AC37
-153.342 57.7536850162 AC38
-153.342 57.7536850729 AC38
-153.342 57.7536852387 AC38
-153.342 57.7536852567 AC38
-152.394 58.6097190807 AC39
-152.394 58.6097190786 AC39
-152.394 58.6097191824 AC39
-152.394 58.6097192090 AC39
-158.619 56.9303525439 AC40
-158.619 56.9303525638 AC40
-158.619 56.9303522824 AC40
-160.407 55.9086686703 AC41
-160.407 55.9086686758 AC41
-162.784 54.4717762525 AC42
-162.784 54.4717762415 AC42
-162.784 54.4717761909 AC42
-149.629 59.5212806179 AC43
-149.629 59.5212805920 AC43
-149.629 59.5212804666 AC43
-149.629 59.5212804448 AC43
-149.567 61.2421729206 AC44
-149.567 61.2421730077 AC44
-149.567 61.2421731017 AC44
-149.567 61.2421731525 AC44
-149.567 61.2421732655 AC44
-154.181 56.5644543697 AC45
-154.181 56.5644541055 AC45
-154.181 56.5644544286 AC45
-154.181 56.5644544225 AC45
-151.524 61.9862686776 AC46
-151.524 61.9862687004 AC46
-151.524 61.9862687034 AC46
-151.524 61.9862686854 AC46
-152.624 60.0814504962 AC47
-152.624 60.0814505165 AC47
-152.624 60.0814505372 AC47
-152.624 60.0814505289 AC47
-152.624 60.0814505292 AC47
-152.624 60.0814505352 AC47
-147.343 60.6458635857 AC48
-147.343 60.6458635794 AC48
-147.343 60.6458635755 AC48
-147.343 60.6458635996 AC48
-147.343 60.6458636225 AC48
-147.343 60.6458635058 AC48
-147.343 60.6458634493 AC48
-151.835 61.4980827195 AC51
-151.835 61.4980826619 AC51
-151.835 61.4980826491 AC51
-151.835 61.4980826406 AC51
-151.835 61.4980826600 AC51
-150.069 61.7689724119 AC53
-150.069 61.7689724810 AC53
-150.069 61.7689725281 AC53
-150.069 61.7689725620 AC53
-150.069 61.7689723624 AC53
-151.765 62.3844439595 AC55
-170.218 57.1560881187 AC58
-170.218 57.1560881053 AC58
-170.218 57.1560881211 AC58
-153.585 59.5671979841 AC59
-153.585 59.5671979866 AC59
-153.585 59.5671980467 AC59
-153.585 59.5671980473 AC59
-145.847 63.5024264953 AC63
-180.699 51.3781293442 AC66
